127.0.0.1 - - [08/Jun/2019:01:31:12 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:13 +0900] "GET /CUKBM1/Login.jsp HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:14 +0900] "GET /CUKBM1/img/front/pic6_1.jpg HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:25 +0900] "POST /CUKBM1/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:25 +0900] "GET /CUKBM1/LoginResult.jsp?LOGIN_RESULT=SUCCESS HTTP/1.1" 200 4018
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:25 +0900] "GET /CUKBM1/img/icon/man8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:26 +0900] "GET /CUKBM1/img/front/pic6_1.jpg HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:28 +0900] "GET /CUKBM1/CUKBM_FrontPage.jsp HTTP/1.1" 200 7072
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:28 +0900] "GET /CUKBM1/img/logo.png HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:28 +0900] "GET /CUKBM1/img/front/soccer.jpg HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:28 +0900] "GET /CUKBM1/img/front/tabletennis.jpg HTTP/1.1" 404 1159
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:28 +0900] "GET /CUKBM1/img/front/basketball.jpg HTTP/1.1" 404 1158
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:28 +0900] "GET /CUKBM1/img/front/lol.jpg HTTP/1.1" 404 1151
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:28 +0900] "GET /CUKBM1/img/front/badminton.jpg HTTP/1.1" 404 1157
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:28 +0900] "GET /CUKBM1/img/front/free3.jpg HTTP/1.1" 404 1153
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:28 +0900] "GET /CUKBM1/img/front/pic6_1.jpg HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:30 +0900] "GET /CUKBM1/img/front/liverpool.jpg HTTP/1.1" 404 1157
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:30 +0900] "GET /CUKBM1/img/front/soccer.jpg HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:33 +0900] "GET /CUKBM1/Board?SUBJECT=soccer&TEAM=0 HTTP/1.1" 200 6572
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:33 +0900] "GET /CUKBM1/img/front/pic6_1.jpg HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:37 +0900] "GET /CUKBM1/BoardItem?SEQ_NO=21&SUBJECT=soccer&MAXNUM=2 HTTP/1.1" 200 5466
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:37 +0900] "GET /CUKBM1/img/front/pic6_1.jpg HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:40 +0900] "POST /CUKBM1/Attend?seqno=21 HTTP/1.1" 200 3913
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:40 +0900] "GET /CUKBM1/img/front/pic6_1.jpg HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:43 +0900] "GET /CUKBM1/img/front/pic6_1.jpg HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:44 +0900] "GET /CUKBM1/BoardItem?SEQ_NO=21&SUBJECT=soccer&MAXNUM=2 HTTP/1.1" 200 5493
0:0:0:0:0:0:0:1 - - [08/Jun/2019:01:31:44 +0900] "GET /CUKBM1/img/front/pic6_1.jpg HTTP/1.1" 404 1154
